student_id,name,cgpa,skills,skills_count,internship_count,projects_count,certifications_count,career_domain,company_joined,package,aptitude_score,communication_score
STU0022,Student 22,5.4,"AWS, Node.js, C++",3,2,5,3,Backend Developer,Infosys,0,54,76
STU0023,Student 23,5.4,"C++, TensorFlow, PyTorch, Node.js, MongoDB, Python, TypeScript, HTML",8,1,4,0,Frontend Developer,Google,10,56,42
STU0024,Student 24,5.5,"Django, Linux, Java, TensorFlow, PowerBI, Docker",6,1,4,2,Frontend Developer,Google,6,69,53
STU0025,Student 25,7.1,"Machine Learning, Flask, Data Analysis",3,0,4,0,Backend Developer,Wipro,5,51,76
STU0026,Student 26,9.0,"Express, Kubernetes, Vue.js",3,2,1,4,Cyber Security,Wipro,10,99,79
STU0027,Student 27,7.3,"TypeScript, Java, CSS, Vue.js, Node.js, Machine Learning, SQL, Git",8,3,3,4,Frontend Developer,Microsoft,12,77,52
STU0028,Student 28,8.7,"AWS, MongoDB, PowerBI",3,1,4,1,Frontend Developer,TCS,25,49,34
STU0029,Student 29,6.1,"Tableau, Data Analysis, Deep Learning, HTML, Linux",5,2,2,2,Backend Developer,Swiggy,8,51,42
STU0030,Student 30,9.2,"TypeScript, JavaScript, Java, PyTorch, Tableau, Docker, AWS, PowerBI",8,1,1,0,Data Analyst,TCS,20,93,84
STU0031,Student 31,6.1,"Flask, Vue.js, Deep Learning, PowerBI, MongoDB",5,1,5,0,Data Analyst,Not Placed,0,46,78
STU0032,Student 32,8.8,"Node.js, TypeScript, HTML, MongoDB, Angular, Redis",6,1,2,2,Data Analyst,Flipkart,10,85,63
STU0033,Student 33,8.2,"CSS, PyTorch, TensorFlow, AWS, Machine Learning, SQL",6,0,5,2,Cyber Security,Microsoft,10,87,48
STU0034,Student 34,7.4,"Vue.js, Angular, Java, C++, Machine Learning, AWS",6,0,1,1,Full Stack Developer,Flipkart,0,84,54
STU0035,Student 35,6.3,"Angular, PyTorch, Redis",3,0,1,4,DevOps,Not Placed,0,46,39
STU0036,Student 36,8.0,"CSS, AWS, Deep Learning, Kubernetes, MongoDB, HTML, Flask",7,2,1,2,AI Engineer,Infosys,4,84,55
STU0037,Student 37,8.7,"AWS, Node.js, Express, PostgreSQL",4,0,1,4,AI Engineer,Swiggy,4,93,99
STU0038,Student 38,5.2,"Python, PostgreSQL, Django",3,2,3,3,Full Stack Developer,Razorpay,10,99,74
STU0039,Student 39,7.0,"Linux, TypeScript, Data Analysis, HTML",4,0,4,0,Cloud Engineer,Infosys,0,55,85
STU0040,Student 40,9.9,"SQL, Django, C++, TensorFlow, Angular, Machine Learning",6,2,3,4,Data Analyst,Not Placed,0,73,54
STU0041,Student 41,8.8,"Tableau, TensorFlow, Git, PostgreSQL, PowerBI, Kubernetes",6,1,1,2,Full Stack Developer,Razorpay,4,71,42
STU0042,Student 42,10.0,"AWS, PyTorch, TensorFlow, Python, Linux, SQL, Java",7,1,5,4,DevOps,TCS,6,90,87
STU0043,Student 43,5.6,"Docker, TypeScript, Data Analysis, Vue.js, React",5,2,5,1,Full Stack Developer,Flipkart,20,75,31
STU0044,Student 44,8.5,"Python, PostgreSQL, Data Analysis, TypeScript, Git, Node.js, Kubernetes, Django",8,1,1,1,Full Stack Developer,Google,8,95,79
STU0045,Student 45,5.7,"PyTorch, Git, PostgreSQL, HTML, Redis, C++, Docker, MongoDB",8,2,1,3,DevOps,Infosys,8,95,50
STU0046,Student 46,9.6,"AWS, CSS, Vue.js, Node.js, TensorFlow, PowerBI, Java",7,2,4,0,Data Analyst,TCS,12,69,46
STU0047,Student 47,7.9,"Java, Kubernetes, Docker, PowerBI, React, CSS, Git, Data Analysis",8,2,4,3,Frontend Developer,Google,15,72,69
STU0048,Student 48,8.1,"Node.js, Redis, Flask, Git",4,0,2,3,DevOps,Zomato,10,47,79
STU0049,Student 49,5.8,"Data Analysis, Express, Python, C++, MongoDB, Vue.js",6,1,2,2,Data Analyst,Flipkart,4,61,66
STU0050,Student 50,9.0,"SQL, Django, Git",3,2,2,2,AI Engineer,Microsoft,3,90,87
STU0051,Student 51,8.3,"TypeScript, Deep Learning, PostgreSQL, Machine Learning, Linux, HTML, Vue.js, PyTorch",8,2,1,2,Cyber Security,Flipkart,15,64,57
STU0052,Student 52,8.7,"SQL, Java, JavaScript, TypeScript",4,0,4,4,AI Engineer,Zomato,25,88,73
STU0053,Student 53,7.3,"C++, PostgreSQL, Vue.js, Java, PyTorch, CSS",6,2,3,1,Backend Developer,Zomato,10,62,73
STU0054,Student 54,8.0,"PyTorch, Machine Learning, React, Node.js, Django, Linux, Data Analysis, HTML",8,2,5,4,Frontend Developer,Infosys,0,80,91
STU0055,Student 55,5.0,"C++, Kubernetes, Java, CSS, Tableau, Machine Learning",6,2,1,3,Cyber Security,Wipro,10,97,44
STU0056,Student 56,7.6,"Express, Java, Angular, Deep Learning, Node.js, Vue.js, Kubernetes",7,2,4,3,Frontend Developer,TCS,3,54,72
STU0057,Student 57,8.1,"Data Analysis, CSS, Java, Python, PyTorch, HTML, Redis, C++",8,1,2,0,Full Stack Developer,Swiggy,20,52,33
STU0058,Student 58,7.1,"React, Docker, JavaScript, Kubernetes",4,0,2,0,Cloud Engineer,Razorpay,12,65,66
STU0059,Student 59,9.9,"HTML, AWS, Django, C++, Vue.js, PyTorch",6,2,5,1,Frontend Developer,Zomato,15,42,71
STU0060,Student 60,5.3,"JavaScript, Machine Learning, Deep Learning, TypeScript, Git, Vue.js, Flask, TensorFlow",8,3,5,1,AI Engineer,Microsoft,6,42,73
STU0061,Student 61,5.8,"Data Analysis, Linux, TypeScript, Docker, Git, Python, Kubernetes",7,0,4,3,DevOps,Flipkart,4,40,59
STU0062,Student 62,8.0,"CSS, Django, PyTorch, Machine Learning, PowerBI, Kubernetes, Data Analysis",7,2,3,2,DevOps,Flipkart,20,54,89
STU0063,Student 63,6.6,"C++, Python, Data Analysis, Deep Learning, Linux, Express, Vue.js",7,2,1,4,Backend Developer,Zomato,8,91,32
STU0064,Student 64,8.8,"Python, Docker, CSS, Django, MongoDB",5,2,1,2,Frontend Developer,Microsoft,25,48,50
STU0065,Student 65,8.7,"HTML, PostgreSQL, Django",3,1,5,1,AI Engineer,Wipro,10,66,50
STU0066,Student 66,9.1,"Flask, TensorFlow, HTML, PowerBI, JavaScript, Deep Learning, Redis, C++",8,0,4,4,Cyber Security,Microsoft,12,77,71
STU0067,Student 67,8.4,"Kubernetes, TypeScript, Git, React, Node.js, Express, Tableau",7,0,1,2,Data Analyst,Google,10,40,80
STU0068,Student 68,8.9,"Express, Tableau, PowerBI, React, JavaScript",5,0,1,1,Frontend Developer,Infosys,5,94,91
STU0069,Student 69,6.4,"MongoDB, Git, React, PostgreSQL",4,3,1,3,Frontend Developer,Swiggy,6,80,76
STU0070,Student 70,7.8,"Vue.js, CSS, HTML, Python",4,0,4,0,Cyber Security,Amazon,8,76,37
STU0071,Student 71,9.2,"SQL, TypeScript, Kubernetes, AWS",4,1,1,1,Backend Developer,Razorpay,8,92,49
STU0072,Student 72,5.3,"JavaScript, Git, AWS, Django, Python",5,3,2,3,Cloud Engineer,Infosys,4,43,53
STU0073,Student 73,7.1,"CSS, C++, TypeScript, MongoDB",4,3,4,2,AI Engineer,Wipro,0,54,99
STU0074,Student 74,9.0,"Deep Learning, Node.js, Angular, Flask, PowerBI, C++, JavaScript, Vue.js",8,1,5,3,Cyber Security,TCS,5,45,33
STU0075,Student 75,5.3,"Linux, TensorFlow, Vue.js, PyTorch, MongoDB, Machine Learning, JavaScript, Django",8,1,3,0,AI Engineer,Swiggy,25,60,97
STU0076,Student 76,8.0,"Tableau, Vue.js, PowerBI, Node.js",4,0,5,0,Full Stack Developer,Zomato,6,72,79
STU0077,Student 77,7.7,"C++, React, PowerBI, Linux, Angular, AWS, Flask",7,3,4,2,Cyber Security,Amazon,10,49,93
STU0078,Student 78,9.1,"MongoDB, AWS, Tableau, Django, Git",5,1,3,2,Cloud Engineer,Infosys,10,44,80
STU0079,Student 79,8.0,"Django, Python, TypeScript, AWS, Git",5,2,5,3,Cyber Security,Wipro,0,87,33
STU0080,Student 80,5.9,"Express, C++, Git, Kubernetes, Data Analysis, PyTorch, Angular, React",8,0,1,3,DevOps,TCS,4,77,79
STU0081,Student 81,9.2,"Angular, Java, SQL, Machine Learning, Docker, AWS, PostgreSQL, TypeScript",8,2,3,2,Cloud Engineer,Wipro,0,72,45
STU0082,Student 82,9.5,"PowerBI, Vue.js, CSS, AWS",4,2,3,2,AI Engineer,Microsoft,4,66,75
STU0083,Student 83,5.6,"Redis, JavaScript, MongoDB, Data Analysis, Vue.js, Python, Django, AWS",8,3,1,0,DevOps,Swiggy,8,72,81
STU0084,Student 84,9.5,"SQL, CSS, Tableau",3,3,3,0,Frontend Developer,TCS,15,73,94
STU0085,Student 85,5.4,"Angular, TypeScript, Python, MongoDB, CSS, Machine Learning, JavaScript",7,0,2,0,Cyber Security,Flipkart,8,51,35
STU0086,Student 86,6.5,"Flask, MongoDB, HTML, JavaScript",4,1,1,0,Data Analyst,Google,20,63,66
STU0087,Student 87,8.6,"JavaScript, Git, SQL",3,0,3,4,Backend Developer,Flipkart,20,86,78
STU0088,Student 88,5.8,"AWS, PostgreSQL, Redis, SQL, Django, Express",6,2,4,2,DevOps,Zomato,15,92,31
STU0089,Student 89,9.3,"Angular, Git, Express, Machine Learning, Vue.js, CSS, Data Analysis",7,1,4,3,Cloud Engineer,Zomato,6,73,61
STU0090,Student 90,6.6,"AWS, Redis, Machine Learning, SQL, Vue.js",5,1,5,1,Cloud Engineer,Not Placed,0,87,85
STU0091,Student 91,5.4,"Tableau, Java, C++, Linux, TensorFlow, HTML",6,2,4,0,Backend Developer,Zomato,0,84,51
STU0092,Student 92,7.0,"Git, SQL, Kubernetes, C++, Django, Data Analysis",6,0,3,3,Backend Developer,Not Placed,0,57,53
STU0093,Student 93,9.9,"React, Git, CSS, TensorFlow",4,3,4,1,Full Stack Developer,Amazon,20,75,62
STU0094,Student 94,5.1,"CSS, SQL, JavaScript, MongoDB, TypeScript, Vue.js, Machine Learning, Flask",8,3,5,2,Full Stack Developer,TCS,10,42,83
STU0095,Student 95,9.2,"Deep Learning, Machine Learning, AWS, PowerBI",4,1,1,1,Cyber Security,Zomato,0,85,33
STU0096,Student 96,9.5,"Kubernetes, Redis, Tableau, Machine Learning, Git, Node.js, MongoDB, HTML",8,0,5,0,Cloud Engineer,Swiggy,10,56,59
STU0097,Student 97,8.1,"Python, Deep Learning, Django, Java, HTML, TensorFlow, React",7,2,1,3,Backend Developer,Microsoft,12,88,86
STU0098,Student 98,6.9,"Angular, Kubernetes, Java",3,3,4,2,Full Stack Developer,Amazon,0,76,46
STU0099,Student 99,7.5,"SQL, Tableau, JavaScript, Linux",4,0,3,1,Data Analyst,Wipro,10,53,42
STU0100,Student 100,6.4,"PowerBI, Kubernetes, CSS, Angular",4,2,5,0,Frontend Developer,Infosys,6,88,83
STU0101,Student 101,8.9,"Django, Java, Data Analysis, Deep Learning",4,2,1,3,Frontend Developer,Infosys,10,97,56
STU0102,Student 102,5.3,"Git, Redis, Docker, Data Analysis, Express, TypeScript, Tableau, C++",8,0,5,1,Full Stack Developer,Infosys,12,73,57
STU0103,Student 103,6.9,"PostgreSQL, Redis, TensorFlow, SQL, AWS, Vue.js, React",7,3,3,2,Cyber Security,Swiggy,5,40,78
STU0104,Student 104,7.2,"Data Analysis, React, Node.js, Flask, AWS, Java",6,3,5,2,Data Analyst,Amazon,8,83,62
STU0105,Student 105,9.8,"PyTorch, Python, Data Analysis",3,0,2,1,Full Stack Developer,Microsoft,0,94,37
STU0106,Student 106,9.5,"PostgreSQL, AWS, Machine Learning, SQL, React, Linux, TensorFlow",7,1,3,1,Frontend Developer,Amazon,20,90,30
STU0107,Student 107,5.2,"CSS, Kubernetes, Vue.js",3,1,1,0,Full Stack Developer,Not Placed,0,61,70
STU0108,Student 108,6.8,"Deep Learning, Git, SQL, Python, TypeScript, HTML, JavaScript",7,1,3,4,Full Stack Developer,Flipkart,15,40,96
STU0109,Student 109,9.8,"Express, PowerBI, Vue.js, Python, Redis",5,1,3,3,Full Stack Developer,Wipro,5,86,70
STU0110,Student 110,8.1,"CSS, Tableau, Flask, PowerBI, React, Django, JavaScript",7,1,1,0,Frontend Developer,Google,25,43,77
STU0111,Student 111,6.7,"Data Analysis, TypeScript, React, Git, Vue.js, Flask",6,3,5,2,Data Analyst,Zomato,8,56,92
STU0112,Student 112,7.1,"HTML, SQL, PowerBI",3,0,3,4,Frontend Developer,Swiggy,4,87,93
STU0113,Student 113,7.1,"HTML, SQL, Kubernetes, PostgreSQL, Python, Machine Learning, Express, Vue.js",8,1,1,4,Full Stack Developer,TCS,25,96,57
STU0114,Student 114,5.1,"Express, CSS, TypeScript, Data Analysis, Docker, Angular, Tableau, C++",8,1,5,1,Backend Developer,Zomato,15,56,95
STU0115,Student 115,5.5,"Node.js, Linux, PowerBI, Python, Django, Docker, AWS, Kubernetes",8,3,3,3,AI Engineer,Not Placed,0,74,95
STU0116,Student 116,8.5,"PyTorch, Django, Docker, Redis, C++, TypeScript, PowerBI, Java",8,0,5,3,Cyber Security,Wipro,5,40,74
STU0117,Student 117,7.2,"TypeScript, Flask, PowerBI, C++, Kubernetes, MongoDB",6,2,4,0,AI Engineer,Not Placed,0,82,70
STU0118,Student 118,6.4,"PowerBI, HTML, Node.js, Redis",4,3,3,1,Full Stack Developer,Infosys,25,77,94
STU0119,Student 119,8.9,"Deep Learning, Angular, AWS, Data Analysis, React",5,1,1,4,Backend Developer,Microsoft,8,43,36
STU0120,Student 120,7.8,"Flask, PyTorch, Machine Learning, HTML, C++, Deep Learning, PowerBI",7,0,5,4,AI Engineer,Not Placed,0,97,81
STU0121,Student 121,5.1,"Redis, Angular, C++",3,0,5,4,Cloud Engineer,Amazon,15,62,42
STU0122,Student 122,6.3,"Linux, PowerBI, HTML, PostgreSQL, Java, Tableau, Vue.js, Node.js",8,1,4,2,Cloud Engineer,Flipkart,8,48,76
STU0123,Student 123,7.1,"SQL, Node.js, Deep Learning",3,0,1,2,Backend Developer,Google,10,64,32
STU0124,Student 124,9.4,"C++, PowerBI, Tableau, Node.js, Express, SQL, MongoDB",7,3,1,3,Cyber Security,Microsoft,12,54,86
STU0125,Student 125,8.8,"MongoDB, PyTorch, HTML",3,1,2,4,Cyber Security,Zomato,5,87,74
STU0126,Student 126,5.9,"Angular, Docker, JavaScript, Vue.js, Django, Python, PostgreSQL, C++",8,0,2,1,DevOps,Razorpay,25,89,41
STU0127,Student 127,5.2,"Angular, Flask, TypeScript, JavaScript, HTML",5,2,5,4,AI Engineer,Google,12,71,64
STU0128,Student 128,9.2,"PyTorch, Flask, CSS, Express, Machine Learning, Angular, HTML",7,1,3,3,AI Engineer,Not Placed,0,87,64
STU0129,Student 129,7.2,"Deep Learning, C++, Python, PowerBI, Machine Learning, Java, Flask, Tableau",8,1,4,0,Full Stack Developer,TCS,4,81,67
STU0130,Student 130,8.4,"Linux, C++, PyTorch",3,0,3,2,DevOps,Microsoft,5,54,41
STU0131,Student 131,7.5,"Java, HTML, Data Analysis, Vue.js, Deep Learning, Python, Kubernetes, Linux",8,2,3,4,DevOps,Not Placed,0,62,64
STU0132,Student 132,7.2,"TensorFlow, PostgreSQL, Tableau, Git, SQL",5,3,3,4,Cyber Security,Razorpay,5,96,69
STU0133,Student 133,7.5,"TensorFlow, Python, Angular, HTML, Machine Learning, React",6,1,3,3,Cyber Security,Wipro,20,87,89
STU0134,Student 134,8.3,"SQL, Docker, Django, Tableau, MongoDB, React, Vue.js, Node.js",8,0,3,1,Frontend Developer,Wipro,4,55,84
STU0135,Student 135,9.8,"CSS, Kubernetes, JavaScript, Python, PostgreSQL, Git",6,3,1,2,Cyber Security,Wipro,8,49,32
STU0136,Student 136,6.5,"Django, React, TensorFlow, Tableau, C++",5,3,3,1,Backend Developer,Not Placed,0,86,88
STU0137,Student 137,8.1,"Machine Learning, CSS, Kubernetes, SQL, HTML, Node.js, React",7,1,1,0,Cloud Engineer,TCS,10,91,38
STU0138,Student 138,9.6,"SQL, Node.js, Redis, MongoDB, Linux, CSS, Java, Express",8,1,2,4,Data Analyst,TCS,12,84,93
STU0139,Student 139,7.3,"Data Analysis, Python, Docker, PostgreSQL, CSS",5,1,1,0,Full Stack Developer,Infosys,20,75,89
STU0140,Student 140,7.4,"Vue.js, Tableau, Deep Learning, Angular, MongoDB, PyTorch, Java, AWS",8,1,1,1,Full Stack Developer,Razorpay,12,59,93
STU0141,Student 141,9.3,"Vue.js, Deep Learning, CSS, Docker",4,3,5,4,Backend Developer,TCS,15,72,67
STU0142,Student 142,6.3,"HTML, PostgreSQL, Python, AWS, Data Analysis, CSS, Git",7,3,5,1,Frontend Developer,Swiggy,10,84,82
STU0143,Student 143,8.5,"Vue.js, Docker, React, Node.js, Machine Learning, Express, PyTorch",7,2,5,0,Cloud Engineer,Infosys,15,40,92
STU0144,Student 144,9.7,"JavaScript, Node.js, Django, HTML",4,1,5,1,Cloud Engineer,TCS,12,88,52
STU0145,Student 145,8.1,"HTML, Deep Learning, PowerBI",3,0,3,1,AI Engineer,Swiggy,12,40,61
STU0146,Student 146,8.2,"Django, Git, HTML, Deep Learning, Data Analysis, Python",6,0,3,1,AI Engineer,Amazon,10,77,47
STU0147,Student 147,6.2,"Machine Learning, Python, TypeScript, Tableau",4,2,5,2,Cyber Security,Infosys,5,61,94
STU0148,Student 148,9.0,"SQL, Machine Learning, C++, Angular, TypeScript, PowerBI",6,0,3,3,Frontend Developer,Razorpay,10,87,39
STU0149,Student 149,5.3,"HTML, Machine Learning, C++, PostgreSQL, Redis",5,2,3,3,Cloud Engineer,Wipro,3,51,42
STU0150,Student 150,9.6,"PowerBI, Deep Learning, JavaScript, Python, TypeScript, HTML, SQL, Data Analysis",8,0,4,0,Cyber Security,TCS,25,45,92
STU0151,Student 151,8.7,"Machine Learning, Flask, Angular, CSS, PyTorch, Python",6,0,2,3,Data Analyst,Infosys,10,68,73
STU0152,Student 152,7.5,"SQL, Data Analysis, TensorFlow, Git",4,3,1,3,Backend Developer,Google,0,92,31
STU0153,Student 153,6.6,"PyTorch, TensorFlow, MongoDB, Kubernetes",4,3,1,1,AI Engineer,Razorpay,12,86,66
STU0154,Student 154,5.3,"MongoDB, SQL, Data Analysis, Deep Learning, React, Python, PostgreSQL, Tableau",8,3,5,3,Backend Developer,Zomato,3,59,53
STU0155,Student 155,5.6,"TensorFlow, Django, Vue.js, Java, Deep Learning, React, Angular",7,2,4,0,AI Engineer,TCS,12,84,43
STU0156,Student 156,6.9,"Angular, TensorFlow, Git, Node.js, CSS, Linux, PowerBI",7,1,5,4,Frontend Developer,Wipro,15,99,30
STU0157,Student 157,8.8,"Tableau, Deep Learning, Angular, HTML, PowerBI, Git",6,3,3,2,Full Stack Developer,Infosys,5,77,74
STU0158,Student 158,6.5,"JavaScript, Python, MongoDB, SQL, Docker",5,2,2,2,DevOps,Not Placed,0,58,93
STU0159,Student 159,9.8,"JavaScript, TensorFlow, Angular, Deep Learning, Redis, Vue.js, Git, PowerBI",8,3,3,0,DevOps,Wipro,15,46,40
STU0160,Student 160,5.3,"PostgreSQL, Java, Deep Learning, MongoDB, CSS, JavaScript",6,2,1,1,DevOps,Infosys,20,46,51
STU0161,Student 161,6.5,"Express, React, Data Analysis",3,3,3,2,Cyber Security,Swiggy,4,66,61
STU0162,Student 162,8.6,"AWS, CSS, C++, Machine Learning, Python, Vue.js, Express, Tableau",8,3,3,4,Cloud Engineer,Razorpay,8,57,59
STU0163,Student 163,7.2,"C++, AWS, Linux",3,2,2,3,Frontend Developer,Not Placed,0,88,51
STU0164,Student 164,5.9,"Node.js, Python, PostgreSQL, Git",4,3,5,2,Cloud Engineer,Not Placed,0,45,41
STU0165,Student 165,6.7,"Angular, Docker, Django, Python, JavaScript, SQL, PyTorch, CSS",8,3,1,0,Frontend Developer,TCS,0,89,41
STU0166,Student 166,5.2,"TypeScript, PowerBI, Angular",3,1,5,4,DevOps,Zomato,3,44,54
STU0167,Student 167,9.0,"Machine Learning, C++, Docker, TypeScript, TensorFlow, Python",6,1,4,3,DevOps,Flipkart,12,67,89
STU0168,Student 168,6.8,"CSS, Django, PowerBI, Node.js, Vue.js",5,3,3,2,Frontend Developer,Google,8,62,59
STU0169,Student 169,6.3,"Redis, TensorFlow, TypeScript, Vue.js, Docker, Machine Learning, PyTorch",7,0,4,0,Frontend Developer,Flipkart,5,67,70
STU0170,Student 170,7.9,"Express, Flask, Deep Learning, CSS",4,3,2,4,Frontend Developer,Google,25,58,52
STU0171,Student 171,6.8,"Java, Node.js, Data Analysis, Express, Django",5,2,4,0,Backend Developer,Swiggy,5,84,38
STU0172,Student 172,9.3,"Docker, Django, Vue.js, Tableau",4,3,5,3,Full Stack Developer,TCS,20,76,81
STU0173,Student 173,7.0,"Python, Node.js, TypeScript, Redis",4,3,3,0,AI Engineer,TCS,4,43,44
STU0174,Student 174,5.5,"HTML, Git, Django",3,1,5,0,Frontend Developer,Wipro,12,94,75
STU0175,Student 175,5.4,"Data Analysis, PostgreSQL, CSS, Git, MongoDB",5,2,1,2,Frontend Developer,Not Placed,0,50,71
STU0176,Student 176,6.2,"Redis, Vue.js, CSS, Tableau, Machine Learning, SQL, Django",7,2,3,4,Full Stack Developer,Microsoft,5,80,90
STU0177,Student 177,7.3,"TensorFlow, Redis, Angular, Data Analysis, React, PowerBI, CSS, PostgreSQL",8,1,2,3,Cyber Security,Google,25,60,68
STU0178,Student 178,8.6,"Kubernetes, Vue.js, Python, React",4,2,1,0,Full Stack Developer,Google,3,63,33
STU0179,Student 179,5.2,"Vue.js, PyTorch, Java, PostgreSQL, Data Analysis, Flask",6,1,2,3,Cloud Engineer,Wipro,4,42,47
STU0180,Student 180,7.1,"PowerBI, Deep Learning, MongoDB, JavaScript",4,0,4,2,Cyber Security,Flipkart,4,69,51
STU0181,Student 181,9.8,"Flask, AWS, Vue.js, Node.js, PostgreSQL",5,2,5,4,DevOps,TCS,0,55,90
STU0182,Student 182,5.8,"Git, Linux, SQL, HTML, Data Analysis, PowerBI, Deep Learning, MongoDB",8,0,2,2,Frontend Developer,Infosys,0,57,35
STU0183,Student 183,9.1,"Data Analysis, C++, TypeScript, Docker, PyTorch, Git, HTML",7,2,2,2,Cloud Engineer,Flipkart,4,46,30
STU0184,Student 184,6.6,"Data Analysis, PowerBI, Git, TensorFlow, MongoDB, AWS, Express",7,1,1,4,AI Engineer,Wipro,20,87,72
STU0185,Student 185,8.0,"React, PowerBI, Git, TensorFlow, Data Analysis, Linux, Java",7,0,1,0,Backend Developer,Infosys,6,68,33
STU0186,Student 186,9.2,"Vue.js, Tableau, Redis, SQL",4,3,4,3,Full Stack Developer,Google,10,92,36
STU0187,Student 187,9.8,"AWS, Deep Learning, React, Kubernetes, MongoDB, Linux, JavaScript, Redis",8,1,4,0,AI Engineer,Infosys,20,51,73
STU0188,Student 188,5.6,"Git, MongoDB, Linux",3,3,4,2,AI Engineer,Wipro,5,93,80
STU0189,Student 189,9.8,"Flask, Express, Node.js, JavaScript, Docker",5,1,2,3,Data Analyst,Amazon,10,77,63
STU0190,Student 190,7.0,"C++, Deep Learning, Vue.js",3,1,3,3,Full Stack Developer,Zomato,15,92,39
STU0191,Student 191,8.4,"MongoDB, Deep Learning, Express, React, Kubernetes, Data Analysis, JavaScript",7,0,5,0,Cyber Security,Amazon,20,78,62
STU0192,Student 192,9.3,"PowerBI, AWS, Angular, React, SQL",5,0,2,4,Backend Developer,Infosys,4,69,73
STU0193,Student 193,6.7,"Vue.js, Angular, Linux, Flask, HTML, TensorFlow, Deep Learning",7,1,3,1,DevOps,Wipro,4,97,31
STU0194,Student 194,7.0,"Angular, PyTorch, SQL, React, Express",5,2,4,4,Cloud Engineer,Flipkart,12,45,94
STU0195,Student 195,5.6,"React, JavaScript, PowerBI, SQL, TypeScript, Redis",6,1,2,4,AI Engineer,Wipro,12,78,87
STU0196,Student 196,7.2,"Docker, Express, TypeScript, Redis, Vue.js, JavaScript, PostgreSQL, Deep Learning",8,0,5,1,Backend Developer,Infosys,6,82,64
STU0197,Student 197,8.5,"PowerBI, PostgreSQL, PyTorch, Django, Tableau, Vue.js, Linux, SQL",8,0,4,1,Cloud Engineer,Wipro,5,88,60
STU0198,Student 198,5.3,"Linux, PowerBI, Docker, Machine Learning, C++",5,2,4,4,Cloud Engineer,Wipro,6,60,46
STU0199,Student 199,8.5,"SQL, Angular, React, TensorFlow",4,3,3,4,Backend Developer,Razorpay,20,47,94
